"","True","Segmented","Rbeast","mcp","strucchange","Ours"
"184",13.5248457182559,23.0000000590878,17,18.5283164231403,18.5,16.7730233622094
"185",13.17536854119,9.00002392002716,23.5,22.4274007842852,22.5,16.9184184003793
"186",17.2757693341687,20.6492658609549,19.5,19.1896697728995,19,17.7286081253733
"187",15.9264516299912,18.9999867778071,17,16.798209254467,16.5,15.9978114130563
"188",12.393271701549,10.0001195959152,13,13.078519310673,13,11.9967011685217
"189",11.8041156542876,11.9999858617118,12.5,13.2373902895901,13,12.1666357438765
"190",16.667662180167,7.00000112923247,17.5,17.3482039594995,17,15.3964318269941
"191",15.5732008319204,16.0000081879113,17.5,17.2888764218635,17,16.2236393248979
"192",15.8377283203969,17.0000020842836,17,16.9877898354844,17,15.6482523865854
"193",13.3138534254377,11.0000533132599,14.5,14.9162126891604,14,13.7248251616416
"194",14.2511161552024,7.99999731671502,14.5,14.1899944359948,14,12.7639078236637
"195",13.2768619302941,10.0000107930267,13.5,13.5821815763928,13.5,12.6625662532571
"196",15.4686760351181,13.0000006390622,17,16.9149442895917,16.5,15.9353750887349
"197",15.0498165790776,14.0000002128013,16,16.3955676050586,16,15.3346529823306
"198",16.4196863241916,17.000014048622,17.5,17.4612255309308,17,16.8906255000383
"199",18.378725938699,26.0000073840515,19.5,19.2027522329146,19,18.1794089735114
"200",16.4809414722121,21.999982535753,17.5,17.4977935140211,17,16.7978580773874
"201",15.9915642868615,12.0000038877863,17,16.711292863647,16.5,15.1957436054457
"202",15.1276600415347,10.000087772083,7,16.2958109006443,16,14.9916684929587
"203",14.9619436760129,11.0000616937995,17,16.4845382841086,16.5,15.0550647843872
"204",16.4743034161455,15.0000370561436,17,17.1446114426255,17,16.4893034077734
"205",16.240206076488,21.0000046705877,14.5,16.8873048594898,16.5,15.8498819770912
"206",14.3516525533375,8.00000177072396,16,15.8808308741196,15.5,15.1010508131455
"207",13.921672609804,22.8896305495048,14.5,15.0775586455256,14.5,14.1796927180509
"208",18.0848881276483,19.9999899209835,18.5,18.6108103734774,18,17.9539168118156
"209",14.4175223726932,21.9999852627907,15.5,15.4214094007889,15,14.4871987742404
"210",15.9185140557998,18.1663455321606,16,16.9563089924322,16.5,15.6694496973673
"211",14.939918226994,16.0326499608182,15,18.0384647506791,18,16.3518176966295
"212",15.8593021971302,7.00003871710485,16.5,16.1740921406048,16,14.8821399673296
"213",15.3823398738303,18.8902899260685,17,17.505196143419,16.5,16.2685729720459
"214",12.745629386742,10.9998320795237,13,13.4537515174481,13.5,11.9980140652228
"215",16.7086032738461,19.9999933204601,17.5,18.4999888477336,17.5,16.9684951084451
"216",14.6370912931496,7.00000498815703,16,15.5929050996404,15.5,14.3319626672564
"217",14.4694441400775,19.438133834419,15,15.2793375885249,15,14.4846575682833
"218",15.9241723871514,19.0000002316948,17.5,17.9284438791029,17.5,16.7903754899922
"219",14.0181405917124,7.79714881165943,4,15.5009669968981,15,14.294686359741
"220",15.1966472743067,12.9999856301628,16.5,17.0673041594757,16,15.474981544372
"221",15.9130784727232,20.9999996718702,16.5,16.7332800449909,16.5,15.9901238062069
"222",16.0878523675814,23.6770357342379,17.5,18.1445265251978,18,16.8138637718759
"223",15.5087041649213,12.0000009332802,18,17.9906278814407,17.5,16.8824355393792
"224",16.7711226777178,17.0000014541527,18,17.8482303698733,17.5,16.9788818041441
"225",14.9896926195163,13.9999979772397,20.5,20.2354848894238,20,15.4429907815478
"226",16.2699426387025,18.0000202986862,17.5,17.4864402482981,17,16.5676734582878
"227",17.5648847094371,14.0000009443717,18.5,18.167924662553,18,17.459651720703
"228",16.8943576691655,22.0000026192344,18,17.8838024039286,17.5,17.2189745198022
"229",15.5734201811726,19.0000086955552,11,16.6247305860579,16.5,15.5761704518075
"230",15.7369390091149,26.9998068946059,16.5,18.8185427586332,16,15.7594122362599
"231",13.8238658276294,20.9999865684758,14.5,14.6206232322997,14.5,13.8440583246056
"232",14.4679770305828,14.9999832225428,13,15.4161599346271,13.5,12.7795334612446
"233",14.5621497881456,10.0000481994406,16,15.8668551876657,15.5,13.8034320458714
"234",13.6847337400514,8.99999995871432,14,14.046562369667,14,12.9978476004973
"235",15.0535146294171,20.0000037919394,16.5,16.4789183780606,16,15.5550795020368
"236",14.5243380659158,9.00004686697614,15,14.5797946792518,14.5,13.2381855778309
"237",15.4395741670455,24.9999693544595,17,16.7685446814594,16.5,15.9909395020778
"238",17.1796074908483,19.0000000301153,18,17.6936639378641,17.5,16.898804345108
"239",14.3269892000484,18.9999571343774,15,15.1436686334054,14.5,14.450328786203
"240",14.3518645456694,19.6205148914803,16,16.1649050063346,15.5,15.2537175937821
"241",13.8516024195871,15.0000073304227,15,15.4736732253231,14.5,14.175977125743
"242",14.3258414793668,18.999999763389,15,15.4526373005365,15,14.4953299909412
"243",21.3430797088299,24.0000003516959,22,21.934647416159,21.5,14.7983934362987
"244",14.9468534393525,9.9999999428871,15.5,15.4321364588397,15.5,13.9980351508158
"245",14.1718650786387,8.99994984321384,16.5,15.9795432021726,16,14.66638658853
"246",16.4571794189686,14.0000150249265,15.5,15.3384136533206,15,14.5116227691821
"247",15.6725515342548,21.9999996502498,17,18.2568070539982,18,16.756002032119
"248",17.0159549384444,24.9999935243861,19,18.7896301323801,18.5,17.6373239546503
"249",15.6522509395215,8.99999828670657,18,17.6534283569476,17.5,16.3729334725214
"250",16.4420174834368,39.3362126085579,18,17.5932285137249,17,16.4989436283369
"251",13.1539283409474,10.9999940540205,14.5,14.5750185225352,14,13.4849157815621
"252",14.9428553381872,15.9999946496204,14.5,16.7605180566062,16,15.2646966315178
"253",14.9736813576108,14.999998747646,15.5,15.5676674842517,15.5,14.560489672675
"254",14.770995618059,8.0000003915135,16,16.0908926968238,15.5,14.8812796786201
"255",15.0281578679558,16.9604838609418,11.5,14.6255903653543,14.5,13.5939612805493
"256",13.8695307015407,6.99999064900012,14.5,14.3833668687819,14,13.5529021352988
"257",13.3442076187286,17.9999982990571,14,13.8423111145198,13.5,12.9295851661192
"258",14.412802545924,9.99999867746727,16,15.7710674611419,15.5,14.6189187647387
"259",14.7279874784019,11.0001292495951,12,14.1709702128672,14,12.6622797256195
"260",14.0240894301577,18.9999960917575,15.5,15.9180437915232,16,14.808315812183
"261",15.2790554814339,20.9999912046637,16,17.0866861284067,17,15.6843947148392
"262",15.1283350112571,19.5449791016758,17,17.2854957453189,17,16.2657550660787
"263",14.895395148109,8.9999984287913,15.5,14.9723536015577,15,13.8222837859621
"264",15.3516085471112,9.00010429824244,16,15.6994444924788,15.5,14.5678446159251
"265",15.2571129613311,17.0000004886458,12.5,14.2452102290565,14,13.16964721151
"266",15.1463445904688,11.8571342862557,16.5,16.415961528405,16,15.4935105909983
"267",13.5954439296168,10.0000189828179,14,14.1422118550288,13.5,13.2046168374029
"268",14.4655733022656,12.000002012533,15,14.7892858329121,14.5,13.6659655010371
"269",15.2197764943378,19.9999621027382,16.5,12.486147409047,17,15.8164676209166
"270",14.1388180541826,14.0000019951139,8,13.9770992616253,14,13.060947685574
"271",15.1959120218174,20.3099807137101,16,16.3669981775423,16,15.3770177888101
"272",13.9227061383234,14.9999960268516,2,15.07817273892,15,13.9659084465264
"273",13.3163477185217,82.719153854058,46.5,31.4360945838211,42,13.9994281535656
"274",14.9739307329959,15.0000030708836,15.5,15.4491850845503,15,14.4970118911926
"275",13.8954374261722,17.9999991101812,14.5,14.8493856902267,14.5,13.9930297453195
"276",15.069351304026,15.0000001912423,16,15.9182321111127,15.5,15.023821466136
"277",15.1754057031555,12.9999851633029,16,16.2146224795107,16,15.2624950627176
"278",15.2135699939884,19.9864085361159,17.5,17.1644142773185,17,15.9686308906986
"279",14.8963772569759,11.9999732501282,15.5,16.483110841706,16,14.8165341244245
"280",18.1688957430754,19.4717212426004,19,19.1820804897525,19,18.461778158178
"281",21.0356010623402,39.9999926512379,23.5,23.8143322150357,23.5,22.8171822911619
"282",15.5602097656259,20.0000003582341,16.5,16.5361330409252,16,15.6631850530642
"283",16.1823642478309,12.9999972393582,17.5,17.2370489714837,17,16.3004699903308
"284",13.8554399013313,11.9999824353535,14.5,14.9309786310807,15,13.9052325651729
"285",17.7928761004698,18.0000004874826,18,19.0414442959495,18,17.2326705188679
"286",17.520262780147,18.8313825311904,17.5,18.1689718303504,18,17.1717595349502
"287",17.0000391114426,11.9999378614565,18.5,18.2805420234634,18,17.2993897213727
"288",13.6228422020777,10.9999465335378,14.5,14.926186945184,14,13.6791816125399
"289",17.5237067799537,16.9999994633254,18.5,18.2884361189542,18,17.4449262092384
"290",14.3450612254197,22.0000150370232,16.5,16.411425497502,16,15.4571173928128
"291",16.7418086901053,16.0000026104192,16.5,17.0550282744317,16.5,15.8666825661382
"292",13.2423816825265,12.0000017449571,15.5,15.7666700199206,15,14.6996271164771
"293",11.6323006862632,6,12,11.9964571148331,11.5,10.8879619655616
"294",13.9663748953804,10.647108660347,15.5,15.3876894635031,15,14.590627382716
"295",13.6910885201771,14.0543823152699,14.5,14.3995486789485,14,13.4987233505967
"296",14.8896852407266,12.0000014845563,15.5,20.1485421439699,20.5,15.2996029905344
"297",13.7526858117296,17.6795196939261,15,14.8889433818469,14.5,13.9977950126956
"298",17.406929280676,22.9999992633711,18.5,19.1296043016983,18.5,17.943800781135
"299",13.1657638549506,8.00026799823472,14.5,14.0549234902653,14,12.6936265475237
"300",15.1480125299058,17.000029840114,16.5,16.450105762422,16,15.5223580619876
